id,code,title,category,subcategory,tags,originalFile,image
drop_0083,104005,昆虫,人・動植物,動物,昆虫、人・動植物、動物、104005、虫、こんちゅう、むし、人物、人、ひと、生き物,ドロップス/104005昆虫.gif,assets/images/drop_0083.gif
drop_0084,104016,ピラニア,人・動植物,動物,ピラニア、人・動植物、動物、104016、人物、人、ひと、生き物,ドロップス/104016ピラニア.gif,assets/images/drop_0084.gif
drop_0085,104031,ゾウ,人・動植物,動物,ゾウ、人・動植物、動物、104031、人物、人、ひと、生き物,ドロップス/104031ゾウ.png,assets/images/drop_0085.png
drop_0086,104032,キリン,人・動植物,動物,キリン、人・動植物、動物、104032、人物、人、ひと、生き物,ドロップス/104032キリン.png,assets/images/drop_0086.png
drop_0087,104033,羊,人・動植物,動物,羊、人・動植物、動物、104033、人物、人、ひと、生き物,ドロップス/104033羊.png,assets/images/drop_0087.png
drop_0088,104034,イノシシ,人・動植物,動物,イノシシ、人・動植物、動物、104034、人物、人、ひと、生き物,ドロップス/104034イノシシ.png,assets/images/drop_0088.png
drop_0089,104035,猿,人・動植物,動物,猿、人・動植物、動物、104035、人物、人、ひと、生き物,ドロップス/104035猿.png,assets/images/drop_0089.png
drop_0090,104036,虎,人・動植物,動物,虎、人・動植物、動物、104036、人物、人、ひと、生き物,ドロップス/104036虎.png,assets/images/drop_0090.png
drop_0091,104037,カンガルー,人・動植物,動物,カンガルー、人・動植物、動物、104037、人物、人、ひと、生き物,ドロップス/104037カンガルー.png,assets/images/drop_0091.png
drop_0092,104038,ムツゴロウ,人・動植物,動物,ムツゴロウ、人・動植物、動物、104038、人物、人、ひと、生き物,ドロップス/104038ムツゴロウ.png,assets/images/drop_0092.png
drop_0093,104039,タツノオトシゴ,人・動植物,動物,タツノオトシゴ、人・動植物、動物、104039、人物、人、ひと、生き物,ドロップス/104039タツノオトシゴ.png,assets/images/drop_0093.png
drop_0094,104040,ウナギ,人・動植物,動物,ウナギ、人・動植物、動物、104040、人物、人、ひと、生き物,ドロップス/104040ウナギ.png,assets/images/drop_0094.png
drop_0095,104041,ナマズ,人・動植物,動物,ナマズ、人・動植物、動物、104041、人物、人、ひと、生き物,ドロップス/104041ナマズ.png,assets/images/drop_0095.png
drop_0096,104042,フグ,人・動植物,動物,フグ、人・動植物、動物、104042、人物、人、ひと、生き物,ドロップス/104042フグ.png,assets/images/drop_0096.png
drop_0097,104043,鮎,人・動植物,動物,鮎、人・動植物、動物、104043、人物、人、ひと、生き物,ドロップス/104043鮎.png,assets/images/drop_0097.png
drop_0098,104044,鵜,人・動植物,動物,鵜、人・動植物、動物、104044、人物、人、ひと、生き物,ドロップス/104044鵜.png,assets/images/drop_0098.png
drop_0099,200000,1動き・様子(枠線あり),動き・様子,動き・様子,1動き・様子(枠線あり)、1動き・様子、動き・様子、枠線あり、1動き、様子、200000、いち、線あり、１、ふちあり、一、動作、行動、気持ち,ドロップス/200000_1動き・様子(枠線あり).gif,assets/images/drop_0099.gif
drop_0100,200000,2動き・様子(枠線なし),動き・様子,動き・様子,2動き・様子(枠線なし)、動き・様子、2動き・様子、枠線なし、2動き、様子、200000、に、線なし、ふちなし、二、２、動作、行動、気持ち,ドロップス/200000_2動き・様子(枠線なし).gif,assets/images/drop_0100.gif
drop_0101,201001,好き,動き・様子,気持ち,好き、動き・様子、気持ち、201001、お気に入り、すき、動作、行動,ドロップス/201001好き.gif,assets/images/drop_0101.gif
drop_0102,201002,幸せ,動き・様子,気持ち,幸せ、動き・様子、気持ち、201002、ハッピー、しあわせ、動作、行動,ドロップス/201002幸せ.gif,assets/images/drop_0102.gif
drop_0103,201003,悲しい(男子),動き・様子,気持ち,悲しい(男子)、悲しい、男子、動き・様子、気持ち、201003、男、おとこ、男性、かなしい、だんし、メンズ、だんせい、動作、行動,ドロップス/201003悲しい(男子).gif,assets/images/drop_0103.gif
drop_0104,201004,美味しい,動き・様子,気持ち,美味しい、動き・様子、気持ち、201004、うまい、おいしい、動作、行動,ドロップス/201004美味しい.gif,assets/images/drop_0104.gif
drop_0105,201005,不味い,動き・様子,気持ち,不味い、動き・様子、気持ち、201005、まずい、動作、行動,ドロップス/201005不味い.gif,assets/images/drop_0105.gif
drop_0106,201006,面白い,動き・様子,気持ち,面白い、動き・様子、気持ち、201006、おもしろい、楽しい、動作、行動,ドロップス/201006面白い.gif,assets/images/drop_0106.gif
drop_0107,201007,つまらない,動き・様子,気持ち,つまらない、動き・様子、気持ち、201007、たいくつ、退屈、動作、行動,ドロップス/201007つまらない.gif,assets/images/drop_0107.gif
drop_0108,201008,怒る(男子),動き・様子,気持ち,怒る(男子)、怒る、男子、動き・様子、気持ち、201008、男、おとこ、男性、怒り、だんし、メンズ、おこる、だんせい、動作、行動,ドロップス/201008怒る(男子).gif,assets/images/drop_0108.gif
drop_0109,201009,怖い,動き・様子,気持ち,怖い、動き・様子、気持ち、201009、こわい、動作、行動,ドロップス/201009怖い.gif,assets/images/drop_0109.gif
drop_0110,201010,静かに,動き・様子,気持ち,静かに、静か、動き・様子、気持ち、201010、しずかに、動作、行動,ドロップス/201010静かに.gif,assets/images/drop_0110.gif
drop_0111,201011,がっかり,動き・様子,気持ち,がっかり、っかり、動き・様子、気持ち、201011、残念、ざんねん、動作、行動,ドロップス/201011がっかり.gif,assets/images/drop_0111.gif
drop_0112,201012,易しい,動き・様子,気持ち,易しい、動き・様子、気持ち、201012、やさしい、簡単、動作、行動,ドロップス/201012易しい.gif,assets/images/drop_0112.gif
drop_0113,201013,難しい,動き・様子,気持ち,難しい、動き・様子、気持ち、201013、むずかしい、動作、行動,ドロップス/201013難しい.gif,assets/images/drop_0113.gif
drop_0114,201014,わからない,動き・様子,気持ち,わからない、わ、ない、動き・様子、気持ち、201014、分からない、理解できない、動作、行動,ドロップス/201014わからない.gif,assets/images/drop_0114.gif
drop_0115,201015,欲しい,動き・様子,気持ち,欲しい、動き・様子、気持ち、201015、ほしい、動作、行動,ドロップス/201015欲しい.gif,assets/images/drop_0115.gif
drop_0116,201016,寒い,動き・様子,気持ち,寒い、動き・様子、気持ち、201016、さむい、動作、行動,ドロップス/201016寒い.gif,assets/images/drop_0116.gif
drop_0117,201017,暑い,動き・様子,気持ち,暑い、動き・様子、気持ち、201017、あつい、動作、行動,ドロップス/201017暑い.gif,assets/images/drop_0117.gif
drop_0118,201018,お腹が痛い(男子),動き・様子,気持ち,お腹が痛い(男子)、お腹が痛い、男子、お腹、痛い、動き・様子、気持ち、201018、おなか、男、おとこ、男性、だんし、メンズ、腹、いたい、だんせい、動作、行動,ドロップス/201018お腹が痛い(男子).gif,assets/images/drop_0118.gif
drop_0119,201019,歯が痛い,動き・様子,気持ち,歯が痛い、歯、痛い、動き・様子、気持ち、201019、は、いたい、動作、行動,ドロップス/201019歯が痛い.gif,assets/images/drop_0119.gif
drop_0120,201020,頭が痛い,動き・様子,気持ち,頭が痛い、頭、痛い、動き・様子、気持ち、201020、いたい、あたま、動作、行動,ドロップス/201020頭が痛い.gif,assets/images/drop_0120.gif
drop_0121,201021,吐き気がする,動き・様子,気持ち,吐き気がする、吐き気、する、吐き気が、動き・様子、気持ち、201021、動作、行動,ドロップス/201021吐き気がする.gif,assets/images/drop_0121.gif
drop_0122,201022,痒い,動き・様子,気持ち,痒い、動き・様子、気持ち、201022、動作、行動,ドロップス/201022痒い.gif,assets/images/drop_0122.gif
drop_0123,201023,止めて,動き・様子,気持ち,止めて、動き・様子、気持ち、201023、動作、行動,ドロップス/201023止めて.gif,assets/images/drop_0123.gif
drop_0124,201024,気持ち,動き・様子,気持ち,気持ち、動き・様子、201024、動作、行動,ドロップス/201024気持ち.gif,assets/images/drop_0124.gif
drop_0125,201025,嫌い,動き・様子,気持ち,嫌い、動き・様子、気持ち、201025、動作、行動,ドロップス/201025嫌い.gif,assets/images/drop_0125.gif
drop_0126,201026,嬉しい,動き・様子,気持ち,嬉しい、動き・様子、気持ち、201026、動作、行動,ドロップス/201026嬉しい.gif,assets/images/drop_0126.gif
drop_0127,201027,笑う,動き・様子,気持ち,笑う、動き・様子、気持ち、201027、動作、行動,ドロップス/201027笑う.gif,assets/images/drop_0127.gif
drop_0128,201028,泣く,動き・様子,気持ち,泣く、動き・様子、気持ち、201028、動作、行動,ドロップス/201028泣く.gif,assets/images/drop_0128.gif
